epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,1718,,,,,0.23025596141815186
0,1718,,0.8985090851783752,0.8985090851783752,0.36751073598861694,
1,3437,,,,,0.1723392903804779
1,3437,,0.9461454749107361,0.9461454749107361,0.1891596019268036,
2,5156,,,,,0.14622095227241516
2,5156,,0.9588363766670227,0.9588363766670227,0.1387207955121994,
3,5157,,,,,0.14622093737125397
3,5157,0.1321553736925125,,,,
