epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,1718,,,,,0.2619555592536926
0,1718,,0.8974000215530396,0.8974000215530396,0.3764023184776306,
1,3437,,,,,0.19987908005714417
1,3437,,0.9413818120956421,0.9413818120956421,0.20105378329753876,
2,5156,,,,,0.16353750228881836
2,5156,,0.9579272866249084,0.9579272866249084,0.1460033804178238,
3,5157,,,,,0.16353745758533478
3,5157,0.1355542689561844,,,,
