epoch,step,train_loss,val_loss
0,49,1.1074004173278809,
0,99,0.637660562992096,
0,149,0.45364102721214294,
0,199,0.6191830635070801,
0,249,0.33714181184768677,
0,299,0.5234845280647278,
0,349,0.26929351687431335,
0,399,0.5693764090538025,
0,449,0.30905866622924805,
0,499,0.13337822258472443,
0,549,0.6137978434562683,
0,599,0.36197125911712646,
0,649,0.3510473072528839,
0,699,0.6111724972724915,
0,749,0.4589375853538513,
0,799,0.09070702642202377,
0,849,0.635992705821991,
0,899,0.2562572956085205,
0,949,0.15778012573719025,
0,999,0.32139188051223755,
0,1049,0.3842608332633972,
0,1099,0.23804175853729248,
0,1149,0.1625208705663681,
0,1199,0.30967143177986145,
0,1249,0.17154520750045776,
0,1299,0.4215247631072998,
0,1349,0.1803831160068512,
0,1399,0.5071123838424683,
0,1449,0.106682188808918,
0,1499,0.2587842345237732,
0,1549,0.14828751981258392,
0,1599,0.5112595558166504,
0,1649,0.28286081552505493,
0,1699,0.2335643619298935,
0,1718,,0.21360407769680023
1,1749,0.23379993438720703,
1,1799,0.6491752862930298,
1,1849,0.21827872097492218,
1,1899,0.12470933049917221,
1,1949,0.0773744210600853,
1,1999,0.07303286343812943,
1,2049,0.43032747507095337,
1,2099,0.23308663070201874,
1,2149,0.46348562836647034,
1,2199,0.1366850584745407,
1,2249,0.3296678364276886,
1,2299,0.04422090947628021,
1,2349,0.1700354516506195,
1,2399,0.06938645988702774,
1,2449,0.11741798371076584,
1,2499,0.16360913217067719,
1,2549,0.0762530043721199,
1,2599,0.2718292772769928,
1,2649,0.0857650488615036,
1,2699,0.4041236340999603,
1,2749,0.08892951905727386,
1,2799,0.5670669078826904,
1,2849,0.13848161697387695,
1,2899,0.29339084029197693,
1,2949,0.03000226430594921,
1,2999,0.20869269967079163,
1,3049,0.19481731951236725,
1,3099,0.30278992652893066,
1,3149,0.25023457407951355,
1,3199,0.13327768445014954,
1,3249,0.1275530606508255,
1,3299,0.16001051664352417,
1,3349,0.1812642216682434,
1,3399,0.21794813871383667,
1,3437,,0.15097148716449738
2,3449,0.15963248908519745,
2,3499,0.12960948050022125,
2,3549,0.027892326936125755,
2,3599,0.12121514230966568,
2,3649,0.4419860243797302,
2,3699,0.09631726890802383,
2,3749,0.17551282048225403,
2,3799,0.19261115789413452,
2,3849,0.06725362688302994,
2,3899,0.11194276064634323,
2,3949,0.0812910720705986,
2,3999,0.16115285456180573,
2,4049,0.1361386775970459,
2,4099,0.06743569672107697,
2,4149,0.38790589570999146,
2,4199,0.25481075048446655,
2,4249,0.1475929319858551,
2,4299,0.10874031484127045,
2,4349,0.054831426590681076,
2,4399,0.012563545256853104,
2,4449,0.10088910162448883,
2,4499,0.14048776030540466,
2,4549,0.02053840272128582,
2,4599,0.18604685366153717,
2,4649,0.12550097703933716,
2,4699,0.04314980283379555,
2,4749,0.22444602847099304,
2,4799,0.09267903119325638,
2,4849,0.28410249948501587,
2,4899,0.05733099579811096,
2,4949,0.08615779131650925,
2,4999,0.22986167669296265,
2,5049,0.04788932204246521,
2,5099,0.051883429288864136,
2,5149,0.10617229342460632,
2,5156,,0.12632548809051514
